"",21.000
0.0000,0.0000E+000
1.0000,0.0000E+000
2.0000,0.0000E+000
3.0000,0.0000E+000
4.0000,0.0000E+000
5.0000,0.0000E+000
6.0000,0.0000E+000
7.0000,0.0000E+000
8.0000,0.0000E+000
9.0000,0.0000E+000
10.0000,0.0000E+000
11.0000,0.0000E+000
12.0000,0.0000E+000
13.0000,0.0000E+000
14.0000,0.0000E+000
15.0000,0.0000E+000
16.0000,0.0000E+000
17.0000,0.0000E+000
18.0000,0.0000E+000
19.0000,0.0000E+000
20.0000,0.0000E+000
21.0000,0.0000E+000
22.0000,0.0000E+000
23.0000,0.0000E+000
24.0000,0.0000E+000
25.0000,0.0000E+000
26.0000,0.0000E+000
27.0000,0.0000E+000
28.0000,0.0000E+000
29.0000,0.0000E+000
30.0000,0.0000E+000
31.0000,0.0000E+000
32.0000,0.0000E+000
33.0000,0.0000E+000
34.0000,0.0000E+000
35.0000,0.0000E+000
36.0000,0.0000E+000
37.0000,0.0000E+000
38.0000,0.0000E+000
39.0000,0.0000E+000
40.0000,0.0000E+000
41.0000,0.0000E+000
42.0000,0.0000E+000
43.0000,0.0000E+000
44.0000,0.0000E+000
45.0000,0.0000E+000
46.0000,0.0000E+000
47.0000,0.0000E+000
48.0000,0.0000E+000
49.0000,0.0000E+000
50.0000,0.0000E+000
51.0000,0.0000E+000
52.0000,0.0000E+000
53.0000,0.0000E+000
54.0000,0.0000E+000
55.0000,0.0000E+000
56.0000,0.0000E+000
57.0000,0.0000E+000
58.0000,0.0000E+000
59.0000,0.0000E+000
60.0000,0.0000E+000
61.0000,0.0000E+000
62.0000,0.0000E+000
63.0000,0.0000E+000
64.0000,0.0000E+000
65.0000,0.0000E+000
66.0000,0.0000E+000
67.0000,0.0000E+000
68.0000,0.0000E+000
69.0000,1.2295E+001
70.0000,2.8133E+001
71.0000,7.1877E+001
72.0000,5.6408E+001
73.0000,1.3647E+001
74.0000,3.6173E+001
75.0000,3.1874E+001
76.0000,2.4982E+001
77.0000,2.6958E+001
78.0000,6.5247E+001
79.0000,4.5411E+001
80.0000,9.7805E+000
81.0000,1.6270E+001
82.0000,4.8926E-001
83.0000,0.0000E+000
84.0000,2.3028E+001
85.0000,6.8811E+001
86.0000,-4.3797E-001
87.0000,-1.0780E+001
88.0000,-7.0028E+000
89.0000,-1.2260E+001
90.0000,-7.0640E+000
91.0000,9.8903E-001
92.0000,2.2612E+001
93.0000,-6.6053E+001
94.0000,-4.8931E+001
95.0000,-5.6186E+000
96.0000,-7.5025E+000
97.0000,3.0830E-001
98.0000,4.7258E+000
99.0000,-4.1046E+001
100.0000,-2.7774E+001
101.0000,1.8326E+001
102.0000,-7.3036E+000
103.0000,-4.1154E+000
104.0000,-1.4541E+001
105.0000,1.5027E+001
106.0000,5.0267E+000
107.0000,9.3240E+000
108.0000,1.4112E+001
109.0000,1.9215E+000
110.0000,-1.2012E+001
111.0000,-6.3477E+000
112.0000,-1.0107E+001
113.0000,-2.0554E+000
114.0000,-1.6759E+001
115.0000,-7.8693E+000
116.0000,-7.9628E+000
117.0000,-9.2949E+000
118.0000,1.4263E+000
119.0000,-4.4841E+000
120.0000,-1.3545E+001
121.0000,-1.0770E+001
122.0000,-1.8131E+000
123.0000,-8.3910E-001
124.0000,-1.0536E+001
125.0000,-7.3243E+000
126.0000,5.2662E+000
127.0000,5.8005E+000
128.0000,-2.2291E+001
129.0000,-5.3649E+000
130.0000,-4.0355E+000
131.0000,2.7638E-001
132.0000,-1.6010E+000
133.0000,5.3861E+001
134.0000,-5.3984E+000
135.0000,-1.9169E+000
