"",21.000
0.0000,0.0000E+000
1.0000,0.0000E+000
2.0000,0.0000E+000
3.0000,0.0000E+000
4.0000,0.0000E+000
5.0000,0.0000E+000
6.0000,0.0000E+000
7.0000,0.0000E+000
8.0000,0.0000E+000
9.0000,0.0000E+000
10.0000,0.0000E+000
11.0000,0.0000E+000
12.0000,0.0000E+000
13.0000,0.0000E+000
14.0000,0.0000E+000
15.0000,0.0000E+000
16.0000,0.0000E+000
17.0000,0.0000E+000
18.0000,0.0000E+000
19.0000,0.0000E+000
20.0000,0.0000E+000
21.0000,0.0000E+000
22.0000,0.0000E+000
23.0000,0.0000E+000
24.0000,0.0000E+000
25.0000,0.0000E+000
26.0000,0.0000E+000
27.0000,0.0000E+000
28.0000,0.0000E+000
29.0000,0.0000E+000
30.0000,0.0000E+000
31.0000,0.0000E+000
32.0000,0.0000E+000
33.0000,0.0000E+000
34.0000,0.0000E+000
35.0000,0.0000E+000
36.0000,0.0000E+000
37.0000,0.0000E+000
38.0000,0.0000E+000
39.0000,0.0000E+000
40.0000,0.0000E+000
41.0000,0.0000E+000
42.0000,0.0000E+000
43.0000,0.0000E+000
44.0000,0.0000E+000
45.0000,0.0000E+000
46.0000,0.0000E+000
47.0000,0.0000E+000
48.0000,0.0000E+000
49.0000,0.0000E+000
50.0000,0.0000E+000
51.0000,0.0000E+000
52.0000,0.0000E+000
53.0000,0.0000E+000
54.0000,0.0000E+000
55.0000,0.0000E+000
56.0000,0.0000E+000
57.0000,0.0000E+000
58.0000,0.0000E+000
59.0000,0.0000E+000
60.0000,0.0000E+000
61.0000,0.0000E+000
62.0000,0.0000E+000
63.0000,0.0000E+000
64.0000,0.0000E+000
65.0000,0.0000E+000
66.0000,0.0000E+000
67.0000,0.0000E+000
68.0000,0.0000E+000
69.0000,2.3407E+002
70.0000,2.5487E+002
71.0000,3.1288E+002
72.0000,2.8568E+002
73.0000,2.8885E+002
74.0000,2.7260E+002
75.0000,2.6607E+002
76.0000,2.7973E+002
77.0000,3.4259E+002
78.0000,3.3222E+002
79.0000,3.1538E+002
80.0000,2.2983E+002
81.0000,3.0212E+002
82.0000,2.1574E+002
83.0000,0.0000E+000
84.0000,2.8653E+002
85.0000,3.3141E+002
86.0000,3.1166E+002
87.0000,3.0864E+002
88.0000,3.0777E+002
89.0000,2.8718E+002
90.0000,2.9426E+002
91.0000,3.1870E+002
92.0000,2.7096E+002
93.0000,2.5269E+002
94.0000,1.7011E+002
95.0000,3.1045E+002
96.0000,2.2965E+002
97.0000,3.2770E+002
98.0000,3.1958E+002
99.0000,3.0569E+002
100.0000,3.2241E+002
101.0000,3.1594E+002
102.0000,3.1120E+002
103.0000,2.2923E+002
104.0000,2.4002E+002
105.0000,3.4690E+002
106.0000,3.4571E+002
107.0000,3.1838E+002
108.0000,3.3265E+002
109.0000,3.1958E+002
110.0000,2.6492E+002
111.0000,3.2076E+002
112.0000,2.4082E+002
113.0000,2.6043E+002
114.0000,2.6102E+002
115.0000,2.9305E+002
116.0000,3.3662E+002
117.0000,3.0270E+002
118.0000,2.7610E+002
119.0000,3.2984E+002
120.0000,2.9078E+002
121.0000,3.0778E+002
122.0000,3.0717E+002
123.0000,3.3738E+002
124.0000,2.7465E+002
125.0000,2.5554E+002
126.0000,3.4752E+002
127.0000,3.4432E+002
128.0000,3.5230E+002
129.0000,3.4519E+002
130.0000,3.4120E+002
131.0000,3.0292E+002
132.0000,3.3611E+002
133.0000,3.7129E+002
134.0000,2.7330E+002
135.0000,3.1578E+002
136.0000,3.7647E+002
137.0000,2.5067E+002
138.0000,3.0100E+002
