"",25.000
0.0000,0.0000E+000
1.0000,0.0000E+000
2.0000,0.0000E+000
3.0000,0.0000E+000
4.0000,0.0000E+000
5.0000,0.0000E+000
6.0000,0.0000E+000
7.0000,0.0000E+000
8.0000,0.0000E+000
9.0000,0.0000E+000
10.0000,0.0000E+000
11.0000,0.0000E+000
12.0000,0.0000E+000
13.0000,0.0000E+000
14.0000,0.0000E+000
15.0000,0.0000E+000
16.0000,0.0000E+000
17.0000,0.0000E+000
18.0000,0.0000E+000
19.0000,0.0000E+000
20.0000,0.0000E+000
21.0000,0.0000E+000
22.0000,0.0000E+000
23.0000,0.0000E+000
24.0000,0.0000E+000
25.0000,0.0000E+000
26.0000,0.0000E+000
27.0000,0.0000E+000
28.0000,0.0000E+000
29.0000,0.0000E+000
30.0000,0.0000E+000
31.0000,0.0000E+000
32.0000,0.0000E+000
33.0000,0.0000E+000
34.0000,0.0000E+000
35.0000,0.0000E+000
36.0000,0.0000E+000
37.0000,0.0000E+000
38.0000,0.0000E+000
39.0000,0.0000E+000
40.0000,0.0000E+000
41.0000,0.0000E+000
42.0000,0.0000E+000
43.0000,0.0000E+000
44.0000,0.0000E+000
45.0000,0.0000E+000
46.0000,0.0000E+000
47.0000,0.0000E+000
48.0000,0.0000E+000
49.0000,0.0000E+000
50.0000,0.0000E+000
51.0000,0.0000E+000
52.0000,0.0000E+000
53.0000,0.0000E+000
54.0000,0.0000E+000
55.0000,0.0000E+000
56.0000,0.0000E+000
57.0000,0.0000E+000
58.0000,0.0000E+000
59.0000,0.0000E+000
60.0000,0.0000E+000
61.0000,0.0000E+000
62.0000,0.0000E+000
63.0000,0.0000E+000
64.0000,0.0000E+000
65.0000,0.0000E+000
66.0000,0.0000E+000
67.0000,0.0000E+000
68.0000,0.0000E+000
69.0000,-3.0932E+002
70.0000,-3.0932E+002
71.0000,-3.0932E+002
72.0000,-3.0932E+002
73.0000,-3.0932E+002
74.0000,-3.0932E+002
75.0000,-3.0932E+002
76.0000,-3.0932E+002
77.0000,-3.0932E+002
78.0000,-3.0932E+002
79.0000,-3.0932E+002
80.0000,-3.0932E+002
81.0000,-3.0932E+002
82.0000,-3.0932E+002
83.0000,0.0000E+000
84.0000,-3.0643E+002
85.0000,-3.1556E+002
86.0000,-3.1543E+002
87.0000,-3.1576E+002
88.0000,-3.1610E+002
89.0000,-3.1658E+002
90.0000,-3.1700E+002
91.0000,-3.1750E+002
92.0000,-3.1850E+002
93.0000,-3.1964E+002
94.0000,-3.1736E+002
95.0000,-3.1789E+002
96.0000,-3.1871E+002
97.0000,-3.1944E+002
98.0000,-3.2025E+002
99.0000,-3.2021E+002
100.0000,-3.2001E+002
101.0000,-3.2103E+002
102.0000,-3.2121E+002
103.0000,-3.2209E+002
104.0000,-3.2305E+002
105.0000,-3.2427E+002
106.0000,-3.2740E+002
107.0000,-3.2894E+002
108.0000,-3.2904E+002
109.0000,-3.3034E+002
110.0000,-3.3038E+002
111.0000,-3.3145E+002
112.0000,-3.3249E+002
113.0000,-3.3511E+002
114.0000,-3.3465E+002
115.0000,-3.3572E+002
116.0000,-3.3679E+002
117.0000,-3.3563E+002
118.0000,-3.3728E+002
119.0000,-3.3810E+002
120.0000,-3.3952E+002
121.0000,-3.3997E+002
122.0000,-3.4213E+002
123.0000,-3.4577E+002
124.0000,-3.4776E+002
125.0000,-3.4617E+002
126.0000,-3.5291E+002
127.0000,-3.5229E+002
128.0000,-3.4587E+002
129.0000,-3.4779E+002
130.0000,-3.4787E+002
131.0000,-3.5086E+002
132.0000,-3.5496E+002
133.0000,-3.5300E+002
