"",21.000
0.0000,0.0000E+000
1.0000,0.0000E+000
2.0000,0.0000E+000
3.0000,0.0000E+000
4.0000,0.0000E+000
5.0000,0.0000E+000
6.0000,0.0000E+000
7.0000,0.0000E+000
8.0000,0.0000E+000
9.0000,0.0000E+000
10.0000,0.0000E+000
11.0000,0.0000E+000
12.0000,0.0000E+000
13.0000,0.0000E+000
14.0000,0.0000E+000
15.0000,0.0000E+000
16.0000,0.0000E+000
17.0000,0.0000E+000
18.0000,0.0000E+000
19.0000,0.0000E+000
20.0000,0.0000E+000
21.0000,0.0000E+000
22.0000,0.0000E+000
23.0000,0.0000E+000
24.0000,0.0000E+000
25.0000,0.0000E+000
26.0000,0.0000E+000
27.0000,0.0000E+000
28.0000,0.0000E+000
29.0000,0.0000E+000
30.0000,0.0000E+000
31.0000,0.0000E+000
32.0000,0.0000E+000
33.0000,0.0000E+000
34.0000,0.0000E+000
35.0000,0.0000E+000
36.0000,0.0000E+000
37.0000,0.0000E+000
38.0000,0.0000E+000
39.0000,0.0000E+000
40.0000,0.0000E+000
41.0000,0.0000E+000
42.0000,0.0000E+000
43.0000,0.0000E+000
44.0000,0.0000E+000
45.0000,0.0000E+000
46.0000,0.0000E+000
47.0000,0.0000E+000
48.0000,0.0000E+000
49.0000,0.0000E+000
50.0000,0.0000E+000
51.0000,0.0000E+000
52.0000,0.0000E+000
53.0000,0.0000E+000
54.0000,0.0000E+000
55.0000,0.0000E+000
56.0000,0.0000E+000
57.0000,0.0000E+000
58.0000,0.0000E+000
59.0000,0.0000E+000
60.0000,0.0000E+000
61.0000,0.0000E+000
62.0000,0.0000E+000
63.0000,0.0000E+000
64.0000,0.0000E+000
65.0000,0.0000E+000
66.0000,0.0000E+000
67.0000,0.0000E+000
68.0000,0.0000E+000
69.0000,-7.4799E-001
70.0000,9.6863E-001
71.0000,2.5948E+000
72.0000,1.9387E+000
73.0000,7.6579E-001
74.0000,2.2374E+000
75.0000,1.4999E+000
76.0000,6.9659E-001
77.0000,2.2407E+000
78.0000,5.1857E+000
79.0000,1.2299E+000
80.0000,-8.3278E-001
81.0000,-3.2328E-001
82.0000,-1.0124E+000
83.0000,0.0000E+000
84.0000,-1.0875E+000
85.0000,-1.0094E+000
86.0000,-2.0188E+000
87.0000,-1.1087E+001
88.0000,-1.2430E+001
89.0000,-2.1513E+001
90.0000,-1.4739E+001
91.0000,-6.2953E+000
92.0000,-4.6272E+000
93.0000,-1.0039E+002
94.0000,-4.0204E+001
95.0000,-1.5626E+001
96.0000,-1.6099E+001
97.0000,-3.7337E+000
98.0000,-1.4265E+001
99.0000,-5.2063E+001
100.0000,-2.7913E+001
101.0000,1.3972E+001
102.0000,-1.6612E+001
103.0000,-1.6872E+001
104.0000,-3.3847E+001
105.0000,-7.2456E+000
106.0000,3.8016E+000
107.0000,-8.4625E+000
108.0000,5.9259E-001
109.0000,-6.4215E+000
110.0000,-1.3569E+001
111.0000,-1.7316E+001
112.0000,-2.6892E+001
113.0000,-2.4483E+001
114.0000,-2.7600E+001
115.0000,-2.0154E+001
116.0000,-1.2147E+001
117.0000,-2.0625E+001
118.0000,-1.0754E+001
119.0000,-1.6554E+001
120.0000,-2.3805E+001
121.0000,-2.2208E+001
122.0000,-1.5251E+001
123.0000,-1.5463E+001
124.0000,-2.9300E+001
125.0000,-3.1808E+001
126.0000,-1.3705E+001
127.0000,-1.8008E+001
128.0000,-3.9381E+001
129.0000,-1.5823E+001
130.0000,-1.0665E+001
131.0000,-2.3779E+001
132.0000,-1.2792E+001
133.0000,5.3189E+001
134.0000,-2.7201E+001
